frame,North_Straight,North_Left,South_Straight,South_Left,East_Straight,East_Left,West_Straight,West_Left,Center
458,1,0,1,2,6,9,12,6,8
459,1,0,1,2,6,9,12,6,8
460,1,0,1,2,6,9,12,6,8
461,0,0,1,2,6,10,12,6,8
462,0,0,1,2,6,10,12,6,8
463,0,0,1,2,6,9,12,6,7
464,0,0,1,2,7,9,12,6,7
465,0,0,1,2,7,9,12,6,7
466,0,0,1,2,7,9,12,6,8
467,0,0,1,2,7,9,12,6,8
468,0,0,1,2,7,9,13,6,7
469,0,1,1,2,7,9,13,6,7
470,0,1,1,2,7,9,13,6,7
471,0,1,1,2,7,10,13,6,7
472,0,1,1,2,7,10,13,6,7
473,0,1,1,2,7,10,12,6,7
474,0,1,1,2,7,10,12,6,7
475,0,1,1,2,7,10,12,6,7
476,0,1,1,2,7,10,12,6,7
477,0,1,1,2,7,10,12,6,7
478,0,1,1,2,7,9,13,6,6
479,0,1,1,2,7,9,13,6,6
480,0,1,1,2,7,9,13,6,6
481,0,1,1,2,7,9,13,6,5
482,0,1,1,2,7,9,13,6,5
483,0,1,1,2,7,9,13,6,5
484,0,1,1,2,7,9,13,6,5
485,0,1,1,2,7,9,13,6,5
486,0,1,1,2,7,10,13,6,4
487,0,1,1,2,7,10,13,6,4
488,0,0,1,2,7,10,13,6,4
489,0,0,1,2,7,10,13,6,4
490,0,0,1,2,7,10,13,6,4
491,0,0,1,2,7,8,13,6,4
492,0,0,1,2,7,8,13,6,4
493,0,0,1,2,7,9,13,6,4
494,0,0,1,2,7,9,13,6,4
495,0,0,1,2,7,10,13,6,4
496,0,0,1,2,7,10,13,6,5
497,0,0,1,2,7,9,13,6,5
498,0,0,1,2,7,10,13,6,4
499,1,0,1,2,7,10,13,6,4
500,1,0,1,2,7,10,13,6,4
501,1,0,1,2,7,10,13,6,4
502,1,0,1,2,7,10,13,6,4
503,1,0,1,2,7,10,12,6,4
504,1,0,1,2,7,10,12,6,4
505,1,0,1,2,7,10,13,6,4
506,1,0,1,2,7,10,13,6,4
507,1,0,1,2,7,10,13,6,4
508,1,0,1,2,7,10,13,6,4
509,1,0,1,2,7,8,13,6,4
510,1,0,1,2,7,8,13,6,4
511,0,0,1,2,7,10,12,6,3
512,0,0,1,2,7,10,12,6,3
513,0,0,1,2,7,10,12,6,3
514,0,0,1,2,7,9,12,6,2
515,0,0,1,2,7,9,12,6,2
516,0,0,1,2,7,9,12,6,3
517,0,0,1,2,7,9,12,6,3
518,0,1,1,2,7,9,12,6,3
519,0,1,1,2,7,9,12,6,3
520,0,1,1,2,7,9,12,6,3
521,0,1,1,2,7,9,13,6,3
522,0,1,1,2,7,9,13,6,3
523,0,1,1,2,7,10,13,6,3
524,1,1,1,2,7,11,13,6,3
525,1,1,1,2,7,11,13,6,3
526,1,1,1,2,7,11,13,6,4
527,2,2,1,2,7,11,13,6,4
528,2,2,1,2,7,11,13,6,4
529,2,2,1,2,7,11,13,6,4
530,2,2,1,2,7,11,13,6,4
531,2,2,1,2,7,11,13,6,4
532,2,3,1,2,7,11,13,6,4
533,2,3,1,2,7,11,12,6,4
534,1,2,1,2,7,9,12,6,4
535,1,2,1,2,7,9,12,6,4
536,0,1,1,2,7,9,12,6,4
537,0,1,1,2,7,9,12,6,4
538,0,0,1,2,7,9,12,6,4
539,0,0,1,2,7,9,13,6,4
540,0,0,1,2,7,9,13,6,4
541,0,0,1,2,7,10,12,6,5
542,0,0,1,2,7,10,12,6,5
543,0,0,1,2,7,10,12,6,5
544,0,0,1,2,7,10,12,6,6
545,0,0,1,2,7,10,12,6,6
546,0,0,2,2,7,10,12,6,6
547,0,0,2,2,7,10,12,6,6
548,0,0,2,2,7,10,12,6,6
549,0,0,1,2,7,9,12,6,6
550,0,0,1,2,7,9,12,6,6
551,0,0,1,2,7,9,12,6,6
552,0,0,1,2,7,9,12,6,6
553,0,0,1,2,7,10,12,6,6
554,0,0,1,2,7,10,12,6,6
555,0,0,1,2,7,10,12,6,6
556,0,0,1,2,7,10,13,6,6
557,0,0,1,2,7,10,13,6,6
558,0,0,1,2,7,10,13,6,6
559,0,0,1,2,7,10,13,6,6
560,0,0,1,2,7,10,13,6,6
561,0,0,2,2,7,11,13,6,6
562,0,0,2,2,8,12,13,6,6
563,0,0,2,2,8,12,13,6,6
564,0,1,2,2,8,10,13,6,6
565,0,1,2,2,8,10,13,6,6
566,0,1,1,2,8,10,13,6,5
567,0,1,2,2,8,10,13,6,5
568,0,1,2,2,8,10,13,6,5
569,0,1,2,2,8,10,13,6,5
570,0,1,2,2,8,10,13,6,5
571,0,1,2,2,8,9,13,6,5
572,0,1,2,2,8,9,13,6,5
573,0,1,2,2,8,9,13,6,5
574,1,1,2,2,8,9,13,6,5
575,1,1,2,2,8,9,13,6,5
576,1,1,1,2,8,9,13,6,3
577,1,1,2,2,8,9,13,6,3
578,1,1,1,2,8,9,13,6,3
579,1,1,1,2,8,9,13,6,3
580,1,1,1,2,8,9,13,6,3
581,0,0,1,2,8,9,13,6,3
582,0,0,1,2,8,9,13,6,3
583,0,0,1,2,8,9,13,6,3
584,0,1,1,2,8,8,13,7,3
585,0,1,1,2,8,8,13,7,3
586,0,1,1,2,8,10,13,7,4
587,1,1,1,2,8,10,13,7,4
588,1,1,1,2,8,11,13,7,4
589,1,1,1,2,8,11,13,7,5
590,1,1,1,2,8,11,13,7,5
591,1,1,1,2,8,11,13,7,5
592,1,1,1,2,8,11,13,7,5
593,1,1,1,2,8,11,13,7,5
594,1,1,1,2,8,11,13,7,4
595,1,1,1,2,8,11,13,7,4
596,0,0,1,2,8,10,13,7,4
597,0,0,1,2,8,10,13,7,4
598,0,0,1,2,8,10,13,7,4
599,0,0,1,2,8,9,13,7,5
600,0,0,1,2,8,10,13,7,5
601,0,0,1,2,8,9,12,7,5
602,0,0,1,2,8,9,12,7,5
603,0,0,1,2,8,9,12,7,5
604,0,0,1,2,8,9,12,7,6
